STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       4336;2024052106;    9;   13.1;  97.0;eor
       4336;2024052112;    9;   13.3;  96.0;eor
       4336;2024052118;    9;   14.7;  88.0;eor
       4336;2024052206;    9;   12.0;  94.0;eor
       4336;2024052212;    9;   16.7;  65.0;eor
       4336;2024052218;    9;   16.3;  69.0;eor
       4336;2024052306;    9;   10.6;  96.0;eor
       4336;2024052312;    9;   15.2;  83.0;eor
       4336;2024052318;    9;   15.0;  76.0;eor
       4336;2024052406;    9;   12.3;  95.0;eor
       4336;2024052412;    9;   14.1;  90.0;eor
       4336;2024052418;    9;   16.5;  70.0;eor
       4336;2024052506;    9;   10.8;  97.0;eor
       4336;2024052512;    9;   17.4;  61.0;eor
       4336;2024052518;    9;   16.8;  67.0;eor
       4336;2024052606;    9;   14.8;  78.0;eor
       4336;2024052612;    9;   20.4;  55.0;eor
       4336;2024052618;    9;   18.1;  66.0;eor
       4336;2024052706;    9;   14.5;  87.0;eor
       4336;2024052712;    9;   19.1;  55.0;eor
       4336;2024052718;    9;   16.2;  60.0;eor
       4336;2024052806;    9;   11.4;  74.0;eor
       4336;2024052812;    9;   17.3;  51.0;eor
       4336;2024052818;    9;   17.0;  57.0;eor
       4336;2024052906;    9;   13.2;  88.0;eor
       4336;2024052912;    9;   13.9;  87.0;eor
       4336;2024052918;    9;   13.3;  94.0;eor
       4336;2024053006;    9;   12.1;  97.0;eor
       4336;2024053012;    9;   16.0;  73.0;eor
       4336;2024053018;    9;   13.5;  75.0;eor
       4336;2024053106;    9;   11.5;  94.0;eor
       4336;2024053112;    9;   15.7;  65.0;eor
       4336;2024053118;    9;   15.6;  75.0;eor
       4336;2024060106;    9;   11.8;  95.0;eor
       4336;2024060112;    9;   17.2;  65.0;eor
       4336;2024060118;    9;   16.5;  79.0;eor
       4336;2024060206;    9;   15.6;  85.0;eor
       4336;2024060212;    9;   17.3;  75.0;eor
       4336;2024060218;    9;   15.2;  78.0;eor
       4336;2024060306;    9;   12.0;  79.0;eor
       4336;2024060312;    9;   17.3;  58.0;eor
       4336;2024060318;    9;   18.9;  53.0;eor
       4336;2024060406;    9;   11.8;  76.0;eor
       4336;2024060412;    9;   19.1;  59.0;eor
       4336;2024060418;    9;   19.7;  56.0;eor
       4336;2024060506;    9;   13.4;  91.0;eor
       4336;2024060512;    9;   17.5;  68.0;eor
       4336;2024060518;    9;   15.7;  80.0;eor
       4336;2024060606;    9;   14.6;  86.0;eor
       4336;2024060612;    9;   19.4;  61.0;eor
       4336;2024060618;    9;   19.6;  49.0;eor
       4336;2024060706;    9;   13.5;  70.0;eor
       4336;2024060712;    9;   20.3;  45.0;eor
       4336;2024060718;    9;   20.4;  44.0;eor
       4336;2024060806;    9;   14.3;  59.0;eor
       4336;2024060812;    9;   22.1;  40.0;eor
       4336;2024060818;    9;   20.9;  47.0;eor
       4336;2024060906;    9;   13.6;  70.0;eor
       4336;2024060912;    9;   20.2;  45.0;eor
       4336;2024060918;    9;   20.2;  42.0;eor
       4336;2024061006;    9;   12.2;  60.0;eor
       4336;2024061012;    9;   17.1;  53.0;eor
       4336;2024061018;    9;   11.9;  84.0;eor
       4336;2024061106;    9;    8.7;  79.0;eor
       4336;2024061112;    9;   15.4;  53.0;eor
       4336;2024061118;    9;   16.0;  42.0;eor
       4336;2024061206;    9;   10.7;  66.0;eor
       4336;2024061212;    9;   15.7;  48.0;eor
       4336;2024061218;    9;   16.1;  50.0;eor
       4336;2024061306;    9;   11.2;  68.0;eor
       4336;2024061312;    9;   15.8;  47.0;eor
       4336;2024061318;    9;   18.9;  42.0;eor
       4336;2024061406;    9;   11.0;  94.0;eor
       4336;2024061412;    9;   14.7;  91.0;eor
       4336;2024061418;    9;   16.7;  79.0;eor
       4336;2024061506;    9;   12.5;  88.0;eor
       4336;2024061512;    9;   17.3;  55.0;eor
       4336;2024061518;    9;   16.9;  54.0;eor
       4336;2024061606;    9;   13.0;  79.0;eor
       4336;2024061612;    9;   17.8;  57.0;eor
       4336;2024061618;    9;   17.0;  71.0;eor
       4336;2024061706;    9;   15.0;  92.0;eor
       4336;2024061712;    9;   19.1;  84.0;eor
       4336;2024061718;    9;   17.5;  91.0;eor
       4336;2024061806;    9;   15.5;  93.0;eor
       4336;2024061812;    9;   22.8;  65.0;eor
       4336;2024061818;    9;   21.8;  77.0;eor
       4336;2024061906;    9;   16.9;  90.0;eor
       4336;2024061912;    9;   18.4;  85.0;eor
       4336;2024061918;    9;   17.0;  84.0;eor
       4336;2024062006;    9;   13.5;  95.0;eor
       4336;2024062012;    9;   23.3;  72.0;eor
       4336;2024062018;    9;   22.7;  77.0;eor
       4336;2024062106;    9;   16.3;  94.0;eor
       4336;2024062112;    9;   21.6;  77.0;eor
       4336;2024062118;    9;   17.4;  77.0;eor
       4336;2024062206;    9;   14.4;  94.0;eor
       4336;2024062212;    9;   15.2;  86.0;eor
       4336;2024062218;    9;   16.0;  77.0;eor
       4336;2024062306;    9;   14.7;  90.0;eor
       4336;2024062312;    9;   20.1;  63.0;eor
       4336;2024062318;    9;   21.5;  59.0;eor
       4336;2024062406;    9;   16.8;  76.0;eor
       4336;2024062412;    9;   24.7;  51.0;eor
       4336;2024062418;    9;   24.4;  49.0;eor
       4336;2024062506;    9;   17.7;  70.0;eor
       4336;2024062512;    9;   26.5;  47.0;eor
       4336;2024062518;    9;   25.8;  42.0;eor
       4336;2024062606;    9;   19.7;  67.0;eor
       4336;2024062612;    9;   27.7;  45.0;eor
       4336;2024062618;    9;   27.7;  49.0;eor
       4336;2024062706;    9;   20.7;  79.0;eor
       4336;2024062712;    9;   27.5;  47.0;eor
       4336;2024062718;    9;   26.9;  53.0;eor
       4336;2024062806;    9;   19.3;  83.0;eor
       4336;2024062812;    9;   24.0;  55.0;eor
       4336;2024062818;    9;   23.5;  47.0;eor
       4336;2024062906;    9;   18.3;  60.0;eor
       4336;2024062912;    9;   27.7;  58.0;eor
       4336;2024062918;    9;   26.8;  72.0;eor
       4336;2024063006;    9;   17.5;  98.0;eor
       4336;2024063012;    9;   16.5;  94.0;eor
       4336;2024063018;    9;   16.8;  91.0;eor
       4336;2024070106;    9;   14.4;  95.0;eor
       4336;2024070112;    9;   18.1;  81.0;eor
       4336;2024070118;    9;   17.9;  58.0;eor
       4336;2024070206;    9;   13.6;  82.0;eor
       4336;2024070212;    9;   13.2;  91.0;eor
       4336;2024070218;    9;   13.9;  96.0;eor
       4336;2024070306;    9;   13.1;  92.0;eor
       4336;2024070312;    9;   13.7;  92.0;eor
       4336;2024070318;    9;   14.5;  71.0;eor
       4336;2024070406;    9;   13.1;  96.0;eor
       4336;2024070412;    9;   15.6;  86.0;eor
       4336;2024070418;    9;   18.2;  60.0;eor
       4336;2024070506;    9;   13.9;  67.0;eor
       4336;2024070512;    9;   21.7;  48.0;eor
       4336;2024070518;    9;   20.9;  60.0;eor
       4336;2024070606;    9;   18.1;  72.0;eor
       4336;2024070612;    9;   19.1;  67.0;eor
       4336;2024070618;    9;   15.9;  82.0;eor
       4336;2024070706;    9;   11.3;  90.0;eor
       4336;2024070712;    9;   19.4;  47.0;eor
       4336;2024070718;    9;   20.1;  46.0;eor
       4336;2024070806;    9;   15.8;  67.0;eor
       4336;2024070812;    9;   22.5;  41.0;eor
       4336;2024070818;    9;   24.1;  38.0;eor
       4336;2024070906;    9;   19.1;  65.0;eor
       4336;2024070912;    9;   28.9;  43.0;eor
       4336;2024070918;    9;   28.9;  46.0;eor
       4336;2024071006;    9;   19.8;  86.0;eor
       4336;2024071012;    9;   24.7;  63.0;eor
       4336;2024071018;    9;   22.5;  76.0;eor
       4336;2024071106;    9;   19.0;  91.0;eor
       4336;2024071112;    9;   22.6;  60.0;eor
       4336;2024071118;    9;   24.0;  52.0;eor
       4336;2024071206;    9;   17.3;  95.0;eor
       4336;2024071212;    9;   22.9;  65.0;eor
       4336;2024071218;    9;   18.1;  74.0;eor
