STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       4349;2024040906;   10;   16.9;  60.0;eor
       4349;2024040912;   10;    9.4;  68.0;eor
       4349;2024040918;   10;   10.3;  64.0;eor
       4349;2024041006;   10;    7.3;  76.0;eor
       4349;2024041012;   10;   12.5;  47.0;eor
       4349;2024041018;   10;   12.5;  47.0;eor
       4349;2024041106;   10;    3.9;  89.0;eor
       4349;2024041112;   10;   16.4;  42.0;eor
       4349;2024041118;   10;   16.0;  44.0;eor
       4349;2024041206;   10;    6.5;  84.0;eor
       4349;2024041212;   10;   19.7;  40.0;eor
       4349;2024041218;   10;   18.8;  54.0;eor
       4349;2024041306;   10;    9.0;  88.0;eor
       4349;2024041312;   10;   22.1;  49.0;eor
       4349;2024041318;   10;   21.7;  58.0;eor
       4349;2024041406;   10;   12.4;  84.0;eor
       4349;2024041412;   10;   22.6;  50.0;eor
       4349;2024041418;   10;   21.2;  49.0;eor
       4349;2024041506;   10;   12.2;  82.0;eor
       4349;2024041512;   10;   15.6;  64.0;eor
       4349;2024041518;   10;   14.2;  44.0;eor
       4349;2024041606;   10;    6.4;  72.0;eor
       4349;2024041612;   10;    8.8;  69.0;eor
       4349;2024041618;   10;    8.9;  74.0;eor
       4349;2024041706;   10;    5.7;  90.0;eor
       4349;2024041712;   10;    8.6;  62.0;eor
       4349;2024041718;   10;    4.3;  91.0;eor
       4349;2024041806;   10;    3.9;  90.0;eor
       4349;2024041812;   10;    8.1;  65.0;eor
       4349;2024041818;   10;    7.6;  73.0;eor
       4349;2024041906;   10;    5.8;  79.0;eor
       4349;2024041912;   10;    5.9;  85.0;eor
       4349;2024041918;   10;    7.2;  88.0;eor
       4349;2024042006;   10;    4.8;  84.0;eor
       4349;2024042012;   10;    8.5;  60.0;eor
       4349;2024042018;   10;    5.5;  81.0;eor
       4349;2024042106;   10;    3.4;  88.0;eor
       4349;2024042112;   10;    6.5;  61.0;eor
       4349;2024042118;   10;    3.9;  89.0;eor
       4349;2024042206;   10;    2.5;  76.0;eor
       4349;2024042212;   10;    8.4;  47.0;eor
       4349;2024042218;   10;    6.8;  56.0;eor
       4349;2024042306;   10;    1.2;  78.0;eor
       4349;2024042312;   10;    9.4;  44.0;eor
       4349;2024042318;   10;    9.5;  44.0;eor
       4349;2024042406;   10;    3.2;  75.0;eor
       4349;2024042412;   10;    6.0;  77.0;eor
       4349;2024042418;   10;    4.9;  85.0;eor
       4349;2024042506;   10;    4.1;  89.0;eor
       4349;2024042512;   10;    9.6;  53.0;eor
       4349;2024042518;   10;    8.1;  61.0;eor
       4349;2024042606;   10;    3.2;  87.0;eor
       4349;2024042612;   10;   11.7;  67.0;eor
       4349;2024042618;   10;   10.4;  83.0;eor
       4349;2024042706;   10;    8.5;  88.0;eor
       4349;2024042712;   10;   19.6;  38.0;eor
       4349;2024042718;   10;   18.4;  42.0;eor
       4349;2024042806;   10;   10.0;  75.0;eor
       4349;2024042812;   10;   18.6;  52.0;eor
       4349;2024042818;   10;   15.8;  53.0;eor
       4349;2024042906;   10;   10.4;  88.0;eor
       4349;2024042912;   10;   18.8;  48.0;eor
       4349;2024042918;   10;   19.6;  51.0;eor
       4349;2024043006;   10;   11.6;  85.0;eor
       4349;2024043012;   10;   23.1;  42.0;eor
       4349;2024043018;   10;   23.5;  43.0;eor
       4349;2024050106;   10;   13.0;  79.0;eor
       4349;2024050112;   10;   23.9;  49.0;eor
       4349;2024050118;   10;   24.1;  39.0;eor
       4349;2024050206;   10;   12.4;  83.0;eor
       4349;2024050212;   10;   20.3;  62.0;eor
       4349;2024050218;   10;   13.1;  87.0;eor
       4349;2024050306;   10;   11.0;  75.0;eor
       4349;2024050312;   10;   13.3;  62.0;eor
       4349;2024050318;   10;   14.6;  56.0;eor
       4349;2024050406;   10;    9.0;  90.0;eor
       4349;2024050412;   10;   17.6;  48.0;eor
       4349;2024050418;   10;   18.8;  43.0;eor
       4349;2024050506;   10;   14.1;  81.0;eor
       4349;2024050512;   10;   16.2;  83.0;eor
       4349;2024050518;   10;   15.6;  90.0;eor
       4349;2024050606;   10;   13.8;  94.0;eor
       4349;2024050612;   10;   16.9;  72.0;eor
       4349;2024050618;   10;   14.0;  78.0;eor
       4349;2024050706;   10;   11.3;  85.0;eor
       4349;2024050712;   10;   13.9;  80.0;eor
       4349;2024050718;   10;   14.0;  74.0;eor
       4349;2024050806;   10;   10.9;  88.0;eor
       4349;2024050812;   10;   14.2;  63.0;eor
       4349;2024050818;   10;   14.3;  67.0;eor
       4349;2024050906;   10;   10.1;  85.0;eor
       4349;2024050912;   10;   17.8;  44.0;eor
       4349;2024050918;   10;   18.7;  43.0;eor
       4349;2024051006;   10;   10.9;  77.0;eor
       4349;2024051012;   10;   20.9;  40.0;eor
       4349;2024051018;   10;   20.5;  41.0;eor
       4349;2024051106;   10;   12.3;  76.0;eor
       4349;2024051112;   10;   22.5;  40.0;eor
       4349;2024051118;   10;   22.5;  39.0;eor
       4349;2024051206;   10;   13.7;  75.0;eor
       4349;2024051212;   10;   24.6;  34.0;eor
       4349;2024051218;   10;   22.1;  42.0;eor
       4349;2024051306;   10;   16.1;  71.0;eor
       4349;2024051312;   10;   23.4;  51.0;eor
       4349;2024051318;   10;   16.9;  82.0;eor
       4349;2024051406;   10;   15.9;  80.0;eor
       4349;2024051412;   10;   25.5;  36.0;eor
       4349;2024051418;   10;   24.0;  36.0;eor
       4349;2024051506;   10;   14.4;  81.0;eor
       4349;2024051512;   10;   15.5;  87.0;eor
       4349;2024051518;   10;   16.7;  82.0;eor
       4349;2024051606;   10;   12.1;  90.0;eor
       4349;2024051612;   10;   19.9;  58.0;eor
       4349;2024051618;   10;   19.7;  56.0;eor
       4349;2024051706;   10;   12.0;  93.0;eor
       4349;2024051712;   10;   12.2;  85.0;eor
       4349;2024051718;   10;   11.6;  88.0;eor
       4349;2024051806;   10;   12.3;  88.0;eor
